log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
backup,3,Database Backup Executed,2017-05-30 07:10:24,2017-05-30 07:10:24,,,,,,0=status=Errordetails=email to backup recipients could not be sent.
four_oh_four,3,404 Error,2017-05-30 07:18:46,2017-05-30 07:18:46,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:19:22,2017-05-30 07:19:22,127.0.0.1,,,/ayiti2/install.php,,query_string=
four_oh_four,3,404 Error,2017-05-30 07:22:03,2017-05-30 07:22:03,127.0.0.1,,,/ayiti2/install.php,,query_string=
